"""""","""Entry.Number""","""date""","""Terminus(m)""","""Author"""
"""523""",522,2.00807650273224,690,"""Bevan"""
"""524""",523,2.00807923497268,1005,"""Bevan"""
"""525""",524,2.00808469945355,750,"""Bevan"""
"""526""",525,2.00808743169399,840,"""Bevan"""
"""527""",526,2.0080956284153,900,"""Bevan"""
"""528""",527,2.00812841530055,585,"""Bevan"""
"""529""",528,2.00813114754098,390,"""Bevan"""
"""530""",529,2.00813661202186,480,"""Bevan"""
"""531""",530,2.0081393442623,195,"""Bevan"""
"""532""",531,2.00814480874317,240,"""Bevan"""
"""533""",532,2.00815573770492,285,"""Bevan"""
"""534""",533,2.00816120218579,285,"""Bevan"""
